iter	Passed	Remaining
877	8555	1188
878	8565	1179
879	8575	1169
880	8585	1159
881	8595	1149
882	8605	1140
883	8615	1130
884	8625	1120
885	8636	1111
886	8645	1101
887	8654	1091
888	8664	1081
889	8674	1072
890	8684	1062
891	8694	1052
892	8703	1042
893	8713	1033
894	8723	1023
895	8734	1013
896	8744	1004
897	8753	994
898	8763	984
899	8773	974
900	8782	965
901	8793	955
902	8802	945
903	8812	935
904	8822	926
905	8832	916
906	8840	906
907	8850	896
908	8860	886
909	8869	877
910	8878	867
911	8888	857
912	8898	847
913	8908	838
914	8918	828
915	8928	818
916	8938	809
917	8948	799
918	8957	789
919	8966	779
920	8975	769
921	8986	760
922	8996	750
923	9007	740
924	9016	731
925	9027	721
926	9036	711
927	9046	701
928	9057	692
929	9066	682
930	9076	672
931	9086	662
932	9097	653
933	9106	643
934	9116	633
935	9126	624
936	9135	614
937	9145	604
938	9155	594
939	9164	584
940	9174	575
941	9184	565
942	9195	555
943	9204	546
944	9215	536
945	9224	526
946	9234	516
947	9245	507
948	9255	497
949	9265	487
950	9275	477
951	9285	468
952	9294	458
953	9303	448
954	9313	438
955	9322	429
956	9332	419
957	9343	409
958	9353	399
959	9363	390
960	9373	380
961	9384	370
962	9394	360
963	9404	351
964	9413	341
965	9423	331
966	9433	321
967	9442	312
968	9452	302
969	9462	292
970	9472	282
971	9482	273
972	9491	263
973	9501	253
974	9511	243
975	9520	234
976	9529	224
977	9540	214
978	9549	204
979	9559	195
980	9570	185
981	9579	175
982	9589	165
983	9599	156
984	9609	146
985	9618	136
986	9627	126
987	9637	117
988	9646	107
989	9656	97
990	9666	87
991	9676	78
992	9685	68
993	9695	58
994	9707	48
995	9716	39
996	9726	29
997	9736	19
998	9746	9
999	9755	0
